WARNING 2021-02-24 09:58:15,936 log Forbidden: /api/notes/4 224
WARNING 2021-02-24 09:58:15,957 log Forbidden: /api/notes/10 224
WARNING 2021-02-24 09:58:15,965 log Forbidden: /api/notes/12 224
WARNING 2021-02-24 09:58:37,925 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 09:58:37,934 log Forbidden: /api/notes/4 224
WARNING 2021-02-24 09:58:37,951 log Forbidden: /api/notes/10 224
WARNING 2021-02-24 09:58:37,958 log Forbidden: /api/notes/12 224
INFO 2021-02-24 10:01:48,961 autoreload Watching for file changes with StatReloader 617
INFO 2021-02-24 10:02:42,159 views Data Incoming from the database 34
INFO 2021-02-24 10:02:42,167 basehttp "GET /api/notes/ HTTP/1.1" 200 244 157
INFO 2021-02-24 10:03:58,109 autoreload D:\Python Project\MyApplication\FundooApp\notes\serializers.py changed, reloading. 240
INFO 2021-02-24 10:03:58,649 autoreload Watching for file changes with StatReloader 617
INFO 2021-02-24 10:04:04,352 views Data Incoming from the database 34
INFO 2021-02-24 10:04:04,355 basehttp "GET /api/notes/ HTTP/1.1" 200 296 157
INFO 2021-02-24 10:04:09,976 views Data Incoming from the database 34
INFO 2021-02-24 10:04:09,979 basehttp "GET /api/notes/ HTTP/1.1" 200 296 157
INFO 2021-02-24 10:14:20,225 autoreload Watching for file changes with StatReloader 617
INFO 2021-02-24 10:14:24,378 views Data Incoming from the database 34
INFO 2021-02-24 10:14:24,381 basehttp "GET /api/notes/ HTTP/1.1" 200 296 157
INFO 2021-02-24 10:14:26,190 views Data Incoming from the database 34
INFO 2021-02-24 10:14:26,192 basehttp "GET /api/notes/ HTTP/1.1" 200 296 157
INFO 2021-02-24 10:17:48,011 autoreload D:\Python Project\MyApplication\FundooApp\FundooApp\settings.py changed, reloading. 240
INFO 2021-02-24 10:17:48,739 autoreload Watching for file changes with StatReloader 617
INFO 2021-02-24 10:19:18,126 autoreload D:\Python Project\MyApplication\FundooApp\FundooApp\settings.py changed, reloading. 240
WARNING 2021-02-24 10:19:23,554 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:19:23,561 log Forbidden: /api/notes/4 224
WARNING 2021-02-24 10:19:23,734 log Unauthorized: /api/auth/login 224
WARNING 2021-02-24 10:19:23,744 log Forbidden: /api/notes/10 224
WARNING 2021-02-24 10:19:23,749 log Forbidden: /api/notes/12 224
WARNING 2021-02-24 10:20:41,284 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:20:41,291 log Forbidden: /api/notes/4 224
WARNING 2021-02-24 10:20:41,492 log Unauthorized: /api/auth/login 224
WARNING 2021-02-24 10:20:41,500 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:20:41,505 log Forbidden: /api/notes/10 224
WARNING 2021-02-24 10:20:41,511 log Forbidden: /api/notes/12 224
WARNING 2021-02-24 10:21:19,927 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:21:19,933 log Forbidden: /api/notes/4 224
WARNING 2021-02-24 10:21:20,113 log Unauthorized: /api/auth/login 224
WARNING 2021-02-24 10:21:20,115 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:21:20,121 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:21:20,128 log Forbidden: /api/notes/10 224
WARNING 2021-02-24 10:21:20,133 log Forbidden: /api/notes/12 224
WARNING 2021-02-24 10:21:45,546 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:21:45,733 log Unauthorized: /api/auth/login 224
WARNING 2021-02-24 10:21:45,735 log Forbidden: /api/notes/4 224
WARNING 2021-02-24 10:21:45,927 log Unauthorized: /api/auth/login 224
WARNING 2021-02-24 10:21:45,929 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:21:45,935 log Forbidden: /api/notes/ 224
WARNING 2021-02-24 10:21:45,941 log Forbidden: /api/notes/10 224
WARNING 2021-02-24 10:21:46,119 log Unauthorized: /api/auth/login 224
WARNING 2021-02-24 10:21:46,120 log Forbidden: /api/notes/12 224
INFO 2021-02-25 05:20:14,399 autoreload Watching for file changes with StatReloader 617
INFO 2021-02-25 05:21:20,571 basehttp "POST /api/auth/login HTTP/1.1" 200 177 157
WARNING 2021-02-25 05:23:00,154 log Forbidden: /api/notes/ 224
WARNING 2021-02-25 05:23:00,155 basehttp "GET /api/notes/ HTTP/1.1" 403 58 157
WARNING 2021-02-25 05:23:04,253 log Forbidden: /api/notes/ 224
WARNING 2021-02-25 05:23:04,254 basehttp "GET /api/notes/ HTTP/1.1" 403 58 157
WARNING 2021-02-25 05:23:05,643 log Forbidden: /api/notes/ 224
WARNING 2021-02-25 05:23:05,644 basehttp "GET /api/notes/ HTTP/1.1" 403 58 157
WARNING 2021-02-25 05:23:07,769 log Forbidden: /api/notes/ 224
WARNING 2021-02-25 05:23:07,769 basehttp "GET /api/notes/ HTTP/1.1" 403 58 157
INFO 2021-02-25 05:24:03,844 autoreload D:\Python Project\MyApplication\FundooApp\authentication\backends.py changed, reloading. 240
INFO 2021-02-25 05:24:04,700 autoreload Watching for file changes with StatReloader 617
WARNING 2021-02-25 05:24:10,204 log Forbidden: /api/notes/ 224
WARNING 2021-02-25 05:24:10,204 basehttp "GET /api/notes/ HTTP/1.1" 403 40 157
WARNING 2021-02-25 05:24:11,829 log Forbidden: /api/notes/ 224
WARNING 2021-02-25 05:24:11,830 basehttp "GET /api/notes/ HTTP/1.1" 403 40 157
WARNING 2021-02-25 05:24:21,253 log Forbidden: /api/auth/login 224
WARNING 2021-02-25 05:24:21,253 basehttp "POST /api/auth/login HTTP/1.1" 403 40 157
WARNING 2021-02-25 05:24:23,465 log Forbidden: /api/auth/login 224
WARNING 2021-02-25 05:24:23,465 basehttp "POST /api/auth/login HTTP/1.1" 403 40 157
WARNING 2021-02-25 05:25:43,708 log Forbidden: /api/auth/login 224
